"State","Max AQI","County","Unhealthy Days","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Idaho",111,"Shoshone",0,0,0,0,209,1
"Idaho",105,"Twin Falls",0,0,0,0,181,0
"Idaho",94,"Valley",0,0,0,0,169,0
"Illinois",71,"Adams",0,0,0,213,0,0
"Illinois",138,"Champaign",0,0,0,153,120,0
"Illinois",87,"Clark",0,0,0,267,0,0
"Illinois",168,"Cook",5,1,23,97,145,8
"Illinois",158,"DuPage",1,0,0,105,168,0
"Illinois",71,"Effingham",0,0,0,211,0,0
"Illinois",98,"Hamilton",0,0,0,127,142,0
"Illinois",156,"Jersey",1,0,0,163,103,0
"Illinois",87,"Jo Daviess",0,0,0,228,0,0
"Illinois",165,"Kane",1,0,0,131,142,0
"Illinois",108,"Lake",0,0,0,200,0,0
"Illinois",141,"Macon",0,0,0,122,151,0
"Illinois",105,"Macoupin",0,0,63,209,0,0
"Illinois",260,"Madison",0,0,0,137,164,3
"Illinois",165,"McHenry",1,0,0,154,118,0
"Illinois",154,"McLean",1,0,0,136,137,0
"Illinois",154,"Peoria",2,0,0,107,163,0
"Illinois",161,"Randolph",1,0,0,118,154,0
"Illinois",167,"Rock Island",2,0,0,110,163,0
"Illinois",161,"Saint Clair",1,0,6,98,194,0
"Illinois",142,"Sangamon",0,0,0,131,142,0
"Illinois",156,"Will",1,0,0,105,168,0
"Illinois",169,"Winnebago",1,0,0,123,140,0
"Indiana",115,"Allen",0,0,0,139,134,0
"Indiana",97,"Bartholomew",0,0,0,155,118,0
"Indiana",112,"Boone",0,0,0,260,0,0
"Indiana",77,"Brown",0,0,0,272,0,0
"Indiana",105,"Carroll",0,0,0,255,0,0
"Indiana",133,"Clark",0,0,0,104,169,0
"Indiana",108,"Delaware",0,0,0,142,131,0
"Indiana",88,"Dubois",0,0,0,0,271,0
"Indiana",132,"Elkhart",0,0,0,126,146,0
"Indiana",126,"Floyd",0,0,0,143,156,0
"Indiana",90,"Greene",0,0,0,157,142,0
"Indiana",118,"Hamilton",0,0,0,124,148,0
"Indiana",90,"Hendricks",0,0,0,272,0,0
"Indiana",95,"Henry",0,0,0,0,253,0
"Indiana",122,"Howard",0,0,0,142,128,0
"Indiana",93,"Knox",0,0,0,231,0,0
"Indiana",153,"LaPorte",1,0,0,153,120,0
"Indiana",219,"Lake",3,0,0,68,200,5
"Indiana",122,"Madison",0,0,0,156,117,0
"Indiana",170,"Marion",2,1,0,63,240,1
"Indiana",84,"Monroe",0,0,0,0,273,0
